Province/Region/City,Confirmed Cases
湖北,16678
浙江,895
广东,870
河南,764
湖南,661
安徽,530
江西,548
重庆,366
江苏,341
四川,301
山东,298
北京,253
上海,233
福建,205
黑龙江,190
陕西,165
广西,150
河北,135
云南,122
海南,89
辽宁,81
山西,81
天津,67
甘肃,57
贵州,64
吉林,54
内蒙古,42
宁夏,34
新疆,32
香港,18
青海,17
台湾,11
澳门,10
西藏,1
