Province/Region/City,Confirmed Cases
Hubei,24953
Guangdong,1075
Zhejiang,1048
Henan,981
Hunan,803
Anhui,733
Jiangxi,698
Jiangsu,439
Chongqing,426
Shandong,407
Sichuan,363
Beijing,315
Heilongjiang,282
Shanghai,281
Fujian,239
Shaanxi,195
Hebei,195
Guangxi,183
Yunnan,138
Hainan,123
Shanxi,104
Liaoning,99
Guizhou,89
Tianjin,81
Gansu,71
Jilin,69
Inner Mongolia,50
Ningxia,45
Xinjiang,42
Hong Kong SAR,26
Qinghai,18
Taipei and environs,16
Macao SAR,10
Xizang,1
