Province/Region/City,Confirmed Cases
湖北,11177
浙江,724
广东,683
河南,566
湖南,521
安徽,408
江西,391
重庆,300
江苏,271
四川,254
山东,246
北京,212
上海,193
福建,179
陕西,128
广西,127
黑龙江,118
河北,113
云南,109
辽宁,70
海南,70
山西,66
甘肃,51
天津,49
贵州,46
内蒙古,33
吉林,31
宁夏,31
新疆,24
香港,15
青海,13
台湾,10
澳门,8
西藏,1
