Province/Region/City,Confirmed Cases
湖北,19665
浙江,954
广东,944
河南,851
湖南,711
安徽,591
江西,600
重庆,389
江苏,373
四川,321
山东,343
北京,274
上海,254
福建,215
黑龙江,227
陕西,173
广西,168
河北,157
云南,128
海南,100
辽宁,89
山西,90
天津,70
甘肃,62
贵州,69
吉林,59
内蒙古,46
宁夏,40
新疆,36
香港,21
青海,18
台湾,11
澳门,10
西藏,1
