Province/Region/City,Confirmed Cases
湖北,24953
广东,1075
浙江,1048
河南,981
湖南,803
安徽,733
江西,698
江苏,439
重庆,426
山东,407
四川,363
北京,315
黑龙江,282
上海,281
福建,239
陕西,195
河北,195
广西,183
云南,138
海南,123
山西,104
辽宁,99
贵州,89
天津,81
甘肃,71
吉林,69
内蒙古,50
宁夏,45
新疆,42
香港,26
青海,18
台湾,16
澳门,10
西藏,1
