Province/Region/City,Confirmed Cases
湖北,13522
浙江,829
广东,797
河南,675
湖南,593
安徽,480
江西,476
重庆,337
江苏,308
四川,282
山东,270
北京,228
上海,208
福建,194
黑龙江,155
陕西,142
广西,139
河北,126
云南,117
海南,79
辽宁,74
山西,74
天津,63
甘肃,56
贵州,56
吉林,42
内蒙古,37
宁夏,34
新疆,29
香港,15
青海,15
台湾,10
澳门,8
西藏,1
