Province/Region/City,Confirmed Cases
湖北,7153
浙江,599
广东,520
河南,422
湖南,389
安徽,297
江西,286
重庆,238
四川,207
江苏,202
山东,202
北京,156
上海,153
福建,144
陕西,101
广西,100
河北,96
云南,91
黑龙江,80
辽宁,60
海南,57
山西,47
甘肃,35
天津,34
贵州,29
宁夏,26
内蒙古,23
新疆,18
吉林,17
香港,13
台湾,10
青海,8
澳门,7
西藏,1
