Province/Region/City,Confirmed Cases
湖北,9074
浙江,661
广东,604
河南,493
湖南,463
安徽,340
江西,333
重庆,262
四川,236
江苏,231
山东,225
北京,183
上海,177
福建,159
陕西,116
广西,111
河北,104
云南,99
黑龙江,95
辽宁,64
海南,63
山西,56
甘肃,45
天津,40
贵州,38
宁夏,28
内蒙古,26
新疆,23
吉林,21
香港,14
台湾,10
青海,9
澳门,7
西藏,1
