Province/Region/City,Confirmed Cases
湖北,22112
浙江,1006
广东,1018
河南,914
湖南,772
安徽,665
江西,661
重庆,411
江苏,408
四川,344
山东,379
北京,297
上海,269
福建,224
黑龙江,277
陕西,184
广西,172
河北,171
云南,135
海南,111
山西,96
辽宁,94
天津,79
贵州,77
甘肃,70
吉林,65
内蒙古,49
宁夏,43
新疆,39
香港,24
青海,18
台湾,16
澳门,10
西藏,1
